series_id,display_name,category,type_tag,native_unit,standard_unit,scale_hint,display_precision,default_transform,align_policy,preferred_window_months,seasonal_adj,source,source_url
AHETPI,AHETPI,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
AWHMAN,AWHMAN,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
CCSA,CCSA,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
CIVPART,CIVPART,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
CPIAUCSL,CPIAUCSL,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
CPILFESL,CPILFESL,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
CSUSHPINSA,CSUSHPINSA,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
DFF,DFF,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
DGORDER,DGORDER,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
DGS10,DGS10,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
DGS2,DGS2,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
EMRATIO,EMRATIO,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
HOUST,HOUST,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
ICSA,ICSA,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
INDPRO,INDPRO,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
JTSHIL,JTSHIL,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
JTSJOL,JTSJOL,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
JTUQUR,JTUQUR,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
MORTGAGE30US,MORTGAGE30US,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
NEWORDER,NEWORDER,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PAYEMS,PAYEMS,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
PCEC96,PCEC96,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PCEPI,PCEPI,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PCEPILFE,PCEPILFE,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PERMIT,PERMIT,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PPIACO,PPIACO,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
PSAVERT,PSAVERT,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
RSAFS,RSAFS,,Leading,,INDEX_PT,NONE,1,YOY,last,60,SA,FRED,
T10Y2Y,T10Y2Y,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
T10Y3M,T10Y3M,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
T10YIE,T10YIE,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
UMCSENT,UMCSENT,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
UNRATE,UNRATE,,Leading,,INDEX_PT,NONE,1,LEVEL,last,60,SA,FRED,
