metric_name,series_id,type,category,unit,frequency,value,period_date,release_date,monthly_change,annual_change
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-09-01,,,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-10-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-11-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2015-12-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-01-01,,0.23923444976076896,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-02-01,,-0.2386634844868769,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-03-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-04-01,,0.0,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-05-01,,0.23923444976076896,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-06-01,,-0.2386634844868769,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2016-07-01,,0.4784688995215379,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2016-08-01,,-0.476190476190483,
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-09-01,,0.23923444976076896,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2016-10-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-11-01,,-0.2380952380952415,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2016-12-01,,0.0,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-01-01,,0.0,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-02-01,,0.0,0.23923444976076896
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2017-03-01,,-0.2386634844868769,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-04-01,,0.4784688995215379,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-05-01,,-0.2380952380952415,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-06-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-07-01,,-0.2380952380952415,-0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-08-01,,0.2386634844868769,0.4784688995215379
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2017-09-01,,-0.2380952380952415,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2017-10-01,,0.2386634844868769,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2017-11-01,,0.2380952380952415,0.4773269689737538
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.8,2017-12-01,,-0.7125890736342144,-0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2018-01-01,,0.23923444976076896,0.0
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.3,2018-02-01,,0.9546539379474906,0.9546539379474906
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-03-01,,-0.2364066193853294,0.9569377990430759
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.4,2018-04-01,,0.47393364928908943,0.952380952380949
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-05-01,,-0.707547169811314,0.4773269689737538
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-06-01,,0.23752969121140477,0.476190476190483
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.2,2018-07-01,,0.0,0.7159904534606307
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-08-01,,-0.23696682464455313,0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2018-09-01,,-0.23752969121140477,0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-10-01,,0.2380952380952415,0.2380952380952415
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.9,2018-11-01,,-0.47505938242280954,-0.47505938242280954
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.1,2018-12-01,,0.4773269689737538,0.717703349282307
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,42.0,2019-01-01,,-0.23752969121140477,0.2386634844868769
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-02-01,,-0.7142857142857075,-1.4184397163120432
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-03-01,,0.0,-1.1848341232227488
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2019-04-01,,-0.23980815347722165,-1.886792452830182
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.6,2019-05-01,,0.0,-1.187648456057007
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.7,2019-06-01,,0.24038461538461878,-1.1848341232227488
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-07-01,,-0.4796163069544433,-1.658767772511855
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-08-01,,0.0,-1.425178147268412
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.5,2019-09-01,,0.0,-1.1904761904761905
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2019-10-01,,-0.24096385542169016,-1.6627078384798166
Average Weekly Hours of Production Employees: Manufacturing,AWHMAN,Labor Market,Hours Worked,Hours,Monthly,41.4,2019-11-01,,0.0,-1.1933174224343674
