Metric,Category,Type,frequency,units,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23,1/31/24,2/29/24,3/31/24,4/30/24,5/31/24,6/30/24,7/31/24,8/31/24,9/30/24,10/31/24,11/30/24,12/31/24,1/31/25,2/28/25,3/31/25,4/30/25,5/31/25,6/30/25,7/31/25,8/31/25
Manufacturers' New Orders,Growth,Leading,Monthly,Millions,219277,221514,222944,224150,222292,236980,217739,221312,228782,228333,230235,241711,228219,236950,244343,243872,243168,243778,235786,245657,247957,238903,235930,243401,236180,231710,240465,232744,224565,224890,228956,230355,226791,226218,218719,222265,233656,240355,204710,165166,184417,202777,223750,226872,230481,236338,237115,241814,249937,251426,253805,252613,253009,258284,259416,264287,259192,263534,268650,277487,280925,277036,277554,279157,278740,284763,284460,282368,282430,287071,279095,293358,288874,280693,289270,290168,289707,303971,293278,289128,298229,285976,298570,304324,280614,282623,287423,286972,286829,281128,293234,289926,292469,293266,288340,290559,291195,293985,316215,295229,344069,311818,,
Building Permits,Growth,Leading,Monthly,Thousands,1303,1234,1272,1251,1208,1353,1256,1319,1273,1356,1299,1311,1317,1321,1385,1378,1338,1345,1334,1273,1314,1272,1340,1317,1254,1286,1295,1322,1347,1299,1379,1482,1469,1523,1535,1443,1495,1455,1346,1076,1250,1334,1546,1533,1636,1613,1703,1752,1855,1711,1756,1721,1703,1654,1658,1736,1640,1707,1765,1919,1920,1857,1868,1859,1704,1737,1703,1557,1600,1594,1401,1410,1410,1618,1480,1474,1575,1464,1522,1561,1537,1528,1503,1519,1545,1577,1476,1459,1407,1461,1436,1476,1434,1428,1508,1480,1460,1454,1481,1422,1394,1393,,
Purchasing Managers Index (PMI),Growth,Leading,Monthly,Index,12334,12350,12361,12367,12377,12390,12390,12435,12443,12457,12472,12501,12527,12551,12576,12595,12623,12656,12676,12688,12710,12731,12741,12761,12790,12782,12788,12785,12778,12787,12790,12789,12787,12733,12777,12760,12745,12743,12684,11382,11610,11950,11973,11999,12057,12086,12118,12153,12145,12179,12232,12191,12219,12249,12303,12349,12391,12454,12498,12532,12560,12608,12676,12725,12739,12768,12800,12826,12848,12883,12896,12889,12897,12900,12890,12889,12874,12877,12863,12856,12869,12836,12858,12865,12866,12853,12838,12847,12849,12839,12840,12800,12800,12750,12770,12760,12755,12763,12764,12764,12753,12738,12727,
Stock Market Index (S&P 500),Growth,Leading,Daily,Index,2275.12,2329.91,2366.82,2359.31,2395.35,2433.99,2454.1,2456.22,2492.84,2557,2593.61,2664.34,2789.8,2705.16,2702.77,2653.63,2701.49,2754.35,2793.64,2857.82,2901.5,2785.46,2723.23,2567.31,2607.39,2754.86,2803.98,2903.8,2854.71,2890.17,2996.11,2897.5,2982.16,2977.68,3104.9,3176.75,3278.2,3277.31,2652.39,2761.98,2919.62,3104.66,3207.62,3391.71,3365.52,3418.7,3548.99,3695.31,3793.75,3883.43,3910.51,4141.18,4167.85,4238.49,4363.71,4454.21,4445.54,4460.71,4667.39,4674.77,4573.82,4435.98,4391.27,4391.3,4040.36,3898.95,3911.73,4158.56,3850.52,3726.05,3917.49,3912.38,3960.66,4079.68,3968.56,4121.47,4146.17,4345.37,4508.08,4457.36,4409.1,4269.4,4460.06,4685.05,4804.49,5011.96,5170.57,5112.49,5235.23,5415.14,5538,5478.21,5621.26,5792.32,5929.92,6010.91,5979.52,6038.69,5683.98,5369.5,5810.92,6029.95,6296.5,
Interest Rate Spread (10yr-2yr),Growth,Leading,Daily,Percent,1.23,1.22,1.17,1.06,1,0.84,0.95,0.87,0.82,0.81,0.66,0.56,0.55,0.68,0.57,0.48,0.47,0.38,0.28,0.25,0.24,0.29,0.26,0.16,0.17,0.17,0.16,0.19,0.19,0.26,0.22,0.06,0.05,0.16,0.2,0.25,0.24,0.17,0.42,0.43,0.5,0.54,0.48,0.51,0.54,0.64,0.7,0.8,0.95,1.14,1.46,1.47,1.47,1.32,1.1,1.07,1.13,1.19,1.05,0.79,0.78,0.5,0.22,0.21,0.28,0.15,-0.14,-0.35,-0.34,-0.39,-0.61,-0.67,-0.68,-0.79,-0.64,-0.56,-0.56,-0.89,-0.93,-0.73,-0.64,-0.27,-0.38,-0.44,-0.26,-0.34,-0.38,-0.33,-0.37,-0.43,-0.25,-0.09,0.1,0.12,0.1,0.17,0.36,0.24,0.31,0.5,0.5,0.49,0.51,
Industrial Production,Growth,Coincident,Monthly,Index,98.82,98.44,99.05,100.04,100.13,100.34,100.09,99.63,99.75,100.99,101.25,101.49,101.49,101.73,102.19,103.36,102.38,103.23,103.36,104.06,104.1,103.93,104.01,104.05,103.36,102.83,102.84,102.27,102.42,102.54,102.01,102.78,102.46,101.59,102.15,101.94,101.34,101.67,97.61,84.68,86.01,91.67,95,95.93,95.89,96.53,96.95,98.2,98.81,95.51,98.19,98.33,99.19,99.65,100.07,100.04,99,100.35,101.27,101.19,101.21,101.85,102.67,102.9,102.97,102.82,103.05,103.17,103.53,103.44,103.11,101.83,102.75,102.8,102.81,103.22,102.98,102.38,103.07,103.1,103.31,102.58,102.89,102.63,101.48,102.73,102.52,102.36,102.98,103.25,102.52,103.02,102.6,102.21,101.95,103.04,102.88,103.94,103.67,103.69,103.66,104.01,,
Personal Income (less transfer payments),Growth,Coincident,Monthly,Billions,13541.3,13589.2,13642.8,13682.6,13780.7,13790.9,13837.7,13860.4,13903.9,13963.2,14028.2,14062.3,14042.8,14068.6,14103,14121.8,14163.6,14226,14298.5,14356.7,14354,14370.2,14411.1,14599.3,14598.4,14633.7,14657.7,14643.3,14641.9,14660.2,14651.8,14726.5,14755.6,14786.5,14855.3,14796.5,14957.6,15040.1,14689.4,13800.6,14122.3,14442,14560.2,14718.6,14895.7,15111.4,15083.4,15094.8,15051.6,15054.2,15186.1,15309.6,15384,15437,15493.8,15488.3,15532.3,15592.2,15582.5,15536.5,15436.2,15420.3,15360,15358.6,15351.3,15297.7,15464.5,15531.9,15586.8,15565.5,15556,15583.7,15666.2,15688.2,15752.6,15775.7,15825,15847.2,15888.4,15925.5,15956.8,16011.2,16095.6,16129.2,16227.8,16232.7,16269.5,16240.4,16291.7,16292.1,16281.1,16279.2,16283.1,16359.2,16412.1,16434.6,16430.3,16428.6,16522.6,16552.2,16522.8,16496,,
Retail Sales,Growth,Coincident,Monthly,Billions,464412,464284,463674,465276,462754,465130,465089,466020,475724,476107,480949,483586,481414,484031,484110,484154,491960,490228,493142,493445,491507,496416,498854,489113,490440,491751,499292,499343,504741,505251,509091,512561,509282,510648,514215,515866,515119,515330,468324,401028,478449,518038,526304,530735,541302,539114,533941,538548,559230,544891,603581,608961,605282,611950,601817,605533,609671,618573,624874,619938,631509,638101,651027,660194,659847,666113,659550,663566,661854,668671,659458,651763,680253,672152,665071,670494,673902,677117,678424,684755,689403,686148,685328,686277,680456,685280,687641,687602,692774,692922,699098,697522,703079,707613,712145,717662,711461,711757,722572,721789,715541,720106,,
Housing Starts,Housing,Leading,Monthly,Thousands,1190,1271,1190,1146,1157,1249,1206,1159,1181,1257,1273,1177,1299,1277,1318,1276,1357,1192,1208,1288,1250,1221,1181,1095,1226,1121,1191,1272,1293,1243,1240,1375,1311,1325,1353,1548,1581,1549,1266,936,1039,1266,1526,1396,1473,1543,1543,1614,1630,1404,1696,1495,1589,1650,1597,1594,1577,1579,1705,1722,1702,1735,1712,1820,1531,1551,1381,1531,1488,1435,1424,1308,1361,1399,1377,1354,1584,1421,1460,1317,1371,1368,1514,1521,1381,1552,1312,1385,1316,1327,1265,1391,1357,1352,1295,1514,1358,1490,1355,1398,1263,1321,,
Average Weekly Hours Worked in Manufacturing,Inflation,Leading,Monthly,Hours,41.9,41.9,41.8,42,41.9,42,41.9,42,41.9,42,42.1,41.8,41.9,42.3,42.2,42.4,42.1,42.2,42.2,42.1,42,42.1,41.9,42.1,42,41.7,41.7,41.6,41.6,41.7,41.5,41.5,41.5,41.4,41.4,41.4,41.3,41.5,41.2,38.4,39.4,39.9,40.7,41,41.2,41.4,41.3,41.5,41.6,41.4,41.6,41.6,41.5,41.3,41.5,41.4,41.4,41.3,41.5,41.5,41.2,41.5,41.5,41.3,41.1,40.9,41,40.9,41,41,40.9,40.6,41,40.7,40.6,40.7,40.7,40.7,40.7,40.7,40.7,40.8,40.6,40.3,40.2,40.6,40.6,40.6,40.9,40.8,40.6,40.7,40.7,40.5,40.7,40.9,40.7,41,41.1,40.9,41,41,41,
