id,symbol,date,price,volume,change_percent,created_at,open,high,low,close
1,SPY,"""2015-08-05T04:00:00.000Z""",180.97,34222715,0.54,"""2025-08-06T00:43:58.572Z""",180.0,181.32,179.79,180.97
2,SPY,"""2015-08-06T04:00:00.000Z""",181.56,56279193,0.32,"""2025-08-06T00:43:58.572Z""",180.97,181.97,180.75,181.56
3,SPY,"""2015-08-07T04:00:00.000Z""",182.07,75417458,0.28,"""2025-08-06T00:43:58.572Z""",181.56,183.17,181.35,182.07
4,SPY,"""2015-08-10T04:00:00.000Z""",180.85,32175272,-0.67,"""2025-08-06T00:43:58.572Z""",182.07,183.53,180.48,180.85
5,SPY,"""2015-08-11T04:00:00.000Z""",178.84,144425012,-1.11,"""2025-08-06T00:43:58.572Z""",180.85,181.56,178.27,178.84
6,SPY,"""2015-08-12T04:00:00.000Z""",177.08,140603922,-0.98,"""2025-08-06T00:43:58.573Z""",178.84,178.94,176.8,177.08
7,SPY,"""2015-08-13T04:00:00.000Z""",177.52,39574680,0.25,"""2025-08-06T00:43:58.573Z""",177.08,178.2,176.99,177.52
8,SPY,"""2015-08-14T04:00:00.000Z""",175.8,119514510,-0.97,"""2025-08-06T00:43:58.573Z""",177.52,178.94,174.25,175.8
9,SPY,"""2015-08-17T04:00:00.000Z""",176.45,24971892,0.37,"""2025-08-06T00:43:58.573Z""",175.8,177.79,175.07,176.45
10,SPY,"""2015-08-18T04:00:00.000Z""",177.59,44392954,0.64,"""2025-08-06T00:43:58.573Z""",176.45,177.94,175.82,177.59
11,SPY,"""2015-08-19T04:00:00.000Z""",178.28,152410687,0.39,"""2025-08-06T00:43:58.573Z""",177.59,179.11,177.05,178.28
12,SPY,"""2015-08-20T04:00:00.000Z""",179.88,122784786,0.9,"""2025-08-06T00:43:58.573Z""",178.28,180.69,177.88,179.88
13,SPY,"""2015-08-21T04:00:00.000Z""",179.93,79326652,0.03,"""2025-08-06T00:43:58.573Z""",179.88,180.04,179.65,179.93
14,SPY,"""2015-08-24T04:00:00.000Z""",181.67,37548464,0.97,"""2025-08-06T00:43:58.573Z""",179.93,182.65,179.37,181.67
15,SPY,"""2015-08-25T04:00:00.000Z""",180.28,165446285,-0.76,"""2025-08-06T00:43:58.573Z""",181.67,182.64,179.7,180.28
16,SPY,"""2015-08-26T04:00:00.000Z""",182.88,99170970,1.44,"""2025-08-06T00:43:58.573Z""",180.28,183.17,180.04,182.88
17,SPY,"""2015-08-27T04:00:00.000Z""",159.26,377017779,-12.92,"""2025-08-06T00:43:58.574Z""",182.88,183.06,158.97,159.26
18,SPY,"""2015-08-28T04:00:00.000Z""",158.09,74131927,-0.73,"""2025-08-06T00:43:58.574Z""",159.26,159.44,154.75,158.09
