id,symbol,date,rsi,macd,macd_signal,percent_b,atr,price_change,ma_trend,created_at,updated_at
1,SPY,"""2023-09-06T04:00:00.000Z""",66.17,4.1752,3.3401,0.6351,9.328,-1.2866,1.2645,"""2025-08-06T00:44:20.969Z""","""2025-08-06T00:44:20.969Z"""
2,SPY,"""2023-09-07T04:00:00.000Z""",58.36,3.4881,2.7905,0.4973,8.4557,-1.0338,-0.0222,"""2025-08-06T00:44:20.970Z""","""2025-08-06T00:44:20.970Z"""
3,SPY,"""2023-09-08T04:00:00.000Z""",63.72,3.4246,2.7397,0.6832,7.3208,1.7058,1.4454,"""2025-08-06T00:44:20.972Z""","""2025-08-06T00:44:20.972Z"""
4,SPY,"""2023-09-11T04:00:00.000Z""",64.52,3.5209,2.8167,0.7392,6.1623,0.6033,1.794,"""2025-08-06T00:44:20.973Z""","""2025-08-06T00:44:20.973Z"""
5,SPY,"""2023-09-12T04:00:00.000Z""",61.66,3.4749,2.7799,0.6842,4.9126,-0.2636,1.2976,"""2025-08-06T00:44:20.974Z""","""2025-08-06T00:44:20.974Z"""
6,SPY,"""2023-09-13T04:00:00.000Z""",58.55,3.6497,2.9197,0.7758,4.9806,0.8137,1.8797,"""2025-08-06T00:44:20.975Z""","""2025-08-06T00:44:20.975Z"""
7,SPY,"""2023-09-14T04:00:00.000Z""",53.91,3.5089,2.8071,0.6441,4.8484,-0.7609,0.8885,"""2025-08-06T00:44:20.976Z""","""2025-08-06T00:44:20.976Z"""
8,SPY,"""2023-09-15T04:00:00.000Z""",49.53,2.9526,2.3621,0.3974,4.9142,-1.3184,-0.5666,"""2025-08-06T00:44:20.977Z""","""2025-08-06T00:44:20.977Z"""
9,SPY,"""2023-09-18T04:00:00.000Z""",49.19,2.6674,2.1339,0.4762,4.9611,0.6063,-0.1132,"""2025-08-06T00:44:20.978Z""","""2025-08-06T00:44:20.978Z"""
10,SPY,"""2023-09-19T04:00:00.000Z""",45.3,2.5395,2.0316,0.5364,4.7232,0.4122,0.1448,"""2025-08-06T00:44:20.979Z""","""2025-08-06T00:44:20.979Z"""
11,SPY,"""2023-09-20T04:00:00.000Z""",49.34,2.3586,1.8869,0.4558,4.7355,-0.1689,-0.1441,"""2025-08-06T00:44:20.980Z""","""2025-08-06T00:44:20.980Z"""
12,SPY,"""2023-09-21T04:00:00.000Z""",43.52,2.1979,1.7583,0.4518,4.4323,0.026,-0.1529,"""2025-08-06T00:44:20.981Z""","""2025-08-06T00:44:20.981Z"""
13,SPY,"""2023-09-22T04:00:00.000Z""",45.19,2.1698,1.7359,0.5653,3.9997,0.4007,0.2039,"""2025-08-06T00:44:20.982Z""","""2025-08-06T00:44:20.982Z"""
14,SPY,"""2023-09-25T04:00:00.000Z""",39.84,1.5097,1.2077,-0.0124,4.5314,-1.993,-1.7515,"""2025-08-06T00:44:20.983Z""","""2025-08-06T00:44:20.983Z"""
15,SPY,"""2023-09-26T04:00:00.000Z""",48.95,1.2177,0.9742,0.2375,4.5998,0.8039,-0.9247,"""2025-08-06T00:44:20.984Z""","""2025-08-06T00:44:20.984Z"""
16,SPY,"""2023-09-27T04:00:00.000Z""",56.83,1.1698,0.9358,0.4348,3.9522,0.6401,-0.2194,"""2025-08-06T00:44:20.985Z""","""2025-08-06T00:44:20.985Z"""
17,SPY,"""2023-09-28T04:00:00.000Z""",41.23,0.6347,0.5077,0.0427,4.7028,-1.5822,-1.7062,"""2025-08-06T00:44:20.986Z""","""2025-08-06T00:44:20.986Z"""
18,SPY,"""2023-09-29T04:00:00.000Z""",21.96,-1.9313,-1.545,-0.4662,13.4182,-7.1033,-8.2295,"""2025-08-06T00:44:20.987Z""","""2025-08-06T00:44:20.987Z"""
19,SPY,"""2023-10-02T04:00:00.000Z""",26.08,-3.6612,-2.929,-0.1545,16.8251,0.9237,-6.9488,"""2025-08-06T00:44:20.987Z""","""2025-08-06T00:44:20.988Z"""
20,SPY,"""2023-10-03T04:00:00.000Z""",26.44,-4.6988,-3.759,0.0196,18.1273,0.9774,-5.6722,"""2025-08-06T00:44:20.989Z""","""2025-08-06T00:44:20.989Z"""
21,SPY,"""2023-10-04T04:00:00.000Z""",31.61,-5.163,-4.1304,0.1463,18.5849,1.0351,-4.4319,"""2025-08-06T00:44:20.990Z""","""2025-08-06T00:44:20.990Z"""
22,SPY,"""2023-10-05T04:00:00.000Z""",32.95,-5.6538,-4.523,0.1401,19.3593,-0.6452,-4.8052,"""2025-08-06T00:44:20.991Z""","""2025-08-06T00:44:20.991Z"""
23,SPY,"""2023-10-06T04:00:00.000Z""",30.79,-5.9515,-4.7612,0.1827,19.5944,0.078,-4.4079,"""2025-08-06T00:44:20.992Z""","""2025-08-06T00:44:20.992Z"""
24,SPY,"""2023-10-09T04:00:00.000Z""",32.38,-5.8728,-4.6983,0.266,19.0628,0.8521,-3.2748,"""2025-08-06T00:44:20.993Z""","""2025-08-06T00:44:20.993Z"""
25,SPY,"""2023-10-10T04:00:00.000Z""",29.13,-6.3689,-5.0951,0.1581,18.948,-2.162,-4.9656,"""2025-08-06T00:44:20.994Z""","""2025-08-06T00:44:20.994Z"""
26,SPY,"""2023-10-11T04:00:00.000Z""",28.48,-6.7966,-5.4373,0.1689,18.4101,-0.3951,-4.8807,"""2025-08-06T00:44:20.994Z""","""2025-08-06T00:44:20.994Z"""
27,SPY,"""2023-10-12T04:00:00.000Z""",30.64,-6.7504,-5.4003,0.2632,16.5846,1.0795,-3.4725,"""2025-08-06T00:44:20.995Z""","""2025-08-06T00:44:20.995Z"""
28,SPY,"""2023-10-13T04:00:00.000Z""",32.48,-6.91,-5.528,0.2293,15.7957,-0.9587,-4.0389,"""2025-08-06T00:44:20.996Z""","""2025-08-06T00:44:20.996Z"""
29,SPY,"""2023-10-16T04:00:00.000Z""",26.24,-7.6193,-6.0954,0.125,14.7508,-2.352,-5.8064,"""2025-08-06T00:44:20.997Z""","""2025-08-06T00:44:20.997Z"""
30,SPY,"""2023-10-17T04:00:00.000Z""",23.39,-8.1926,-6.5541,0.142,11.8407,-0.3797,-5.6338,"""2025-08-06T00:44:20.998Z""","""2025-08-06T00:44:20.998Z"""
31,SPY,"""2023-10-18T04:00:00.000Z""",25.82,-8.5205,-6.8164,0.1801,8.8206,0.1018,-5.0141,"""2025-08-06T00:44:20.999Z""","""2025-08-06T00:44:20.999Z"""
32,SPY,"""2023-10-19T04:00:00.000Z""",42.5,-8.658,-6.9264,0.2107,9.5022,0.0814,-4.4092,"""2025-08-06T00:44:21.000Z""","""2025-08-06T00:44:21.000Z"""
33,SPY,"""2023-10-20T04:00:00.000Z""",41.4,-8.4724,-6.7779,0.2724,9.8293,0.7086,-3.2068,"""2025-08-06T00:44:21.001Z""","""2025-08-06T00:44:21.001Z"""
34,SPY,"""2023-10-23T04:00:00.000Z""",34.28,-8.3972,-6.7177,0.253,10.1024,-0.6027,-3.3385,"""2025-08-06T00:44:21.002Z""","""2025-08-06T00:44:21.002Z"""
35,SPY,"""2023-10-24T04:00:00.000Z""",35.53,-7.8844,-6.3075,0.3636,9.3804,1.3027,-1.6375,"""2025-08-06T00:44:21.003Z""","""2025-08-06T00:44:21.003Z"""
36,SPY,"""2023-10-25T04:00:00.000Z""",42.1,-7.1534,-5.7227,0.4624,8.8344,0.8592,-0.3507,"""2025-08-06T00:44:21.004Z""","""2025-08-06T00:44:21.004Z"""
37,SPY,"""2023-10-26T04:00:00.000Z""",40.38,-6.6093,-5.2874,0.4465,8.103,-0.3919,-0.3637,"""2025-08-06T00:44:21.005Z""","""2025-08-06T00:44:21.005Z"""
38,SPY,"""2023-10-27T04:00:00.000Z""",39.96,-5.8875,-4.71,0.556,6.565,0.7868,0.3803,"""2025-08-06T00:44:21.006Z""","""2025-08-06T00:44:21.006Z"""
39,SPY,"""2023-10-30T04:00:00.000Z""",44.91,-5.5022,-4.4018,0.4338,6.2604,-0.8768,-0.4498,"""2025-08-06T00:44:21.007Z""","""2025-08-06T00:44:21.007Z"""
