Date,AAII Bullish,AAII Neutral,AAII Bearish,8-week Moving Average,,
9-11-87,50.0%,23.0%,27.0%,46.63%,,
9-18-87,60.0%,29.0%,11.0%,49.63%,,
9-25-87,53.0%,17.0%,30.0%,53.00%,,
10-2-87,44.0%,26.0%,30.0%,51.50%,,
10-9-87,46.0%,39.0%,15.0%,51.63%,,
10-16-87,37.0%,30.0%,33.0%,48.00%,,
10-23-87,39.0%,30.0%,31.0%,46.38%,,
10-30-87,44.0%,23.0%,33.0%,46.63%,,
11-6-87,47.0%,31.0%,22.0%,46.25%,,
11-13-87,31.0%,41.0%,28.0%,42.63%,,
11-20-87,39.0%,42.0%,19.0%,40.88%,,
11-27-87,27.0%,46.0%,27.0%,38.75%,,
12-4-87,25.0%,33.0%,42.0%,36.13%,,
12-11-87,23.0%,45.0%,32.0%,34.38%,,
12-18-87,33.0%,40.0%,27.0%,33.63%,,
12-24-87,28.0%,52.0%,20.0%,31.63%,,
12-31-87,25.0%,49.0%,26.0%,28.88%,,
1-8-88,34.0%,46.0%,20.0%,29.25%,,
1-15-88,34.0%,40.0%,26.0%,28.63%,,
1-22-88,21.0%,48.0%,31.0%,27.88%,,
1-29-88,26.0%,45.0%,29.0%,28.00%,,
2-5-88,32.0%,53.0%,15.0%,29.13%,,
2-12-88,32.0%,46.0%,22.0%,29.00%,,
2-19-88,27.0%,49.0%,24.0%,28.88%,,
2-26-88,30.0%,51.0%,19.0%,29.50%,,
3-4-88,38.0%,40.0%,22.0%,30.00%,,
3-11-88,43.0%,40.0%,17.0%,31.13%,,
3-18-88,41.0%,49.0%,10.0%,33.63%,,
3-25-88,45.0%,38.0%,17.0%,36.00%,,
4-1-88,35.0%,45.0%,20.0%,36.38%,,
4-8-88,33.0%,48.0%,19.0%,36.50%,,
4-15-88,23.0%,53.0%,24.0%,36.00%,,
4-22-88,23.0%,57.0%,20.0%,35.13%,,
4-29-88,22.0%,48.0%,30.0%,33.13%,,
5-6-88,38.0%,42.0%,20.0%,32.50%,,
5-13-88,19.0%,56.0%,25.0%,29.75%,,
5-20-88,23.0%,52.0%,25.0%,27.00%,,
5-27-88,28.0%,52.0%,20.0%,26.13%,,
6-3-88,26.0%,62.0%,12.0%,25.25%,,
6-10-88,28.0%,49.0%,23.0%,25.88%,,
6-17-88,29.0%,50.0%,21.0%,26.63%,,
6-24-88,33.0%,44.0%,23.0%,28.00%,,
7-1-88,45.0%,38.0%,17.0%,28.88%,,
7-8-88,35.0%,50.0%,15.0%,30.88%,,
7-15-88,26.0%,37.0%,37.0%,31.25%,,
7-22-88,16.0%,58.0%,26.0%,29.75%,,
7-29-88,23.0%,54.0%,23.0%,29.38%,,
8-5-88,21.0%,49.0%,30.0%,28.50%,,
8-12-88,26.0%,48.0%,26.0%,28.13%,,
8-19-88,19.0%,53.0%,28.0%,26.38%,,
8-26-88,28.0%,40.0%,32.0%,24.25%,,
9-2-88,18.0%,43.0%,39.0%,22.13%,,
9-9-88,17.0%,52.0%,31.0%,21.00%,,
9-16-88,24.0%,46.0%,30.0%,22.00%,,
9-23-88,20.0%,53.0%,27.0%,21.63%,,
9-30-88,26.0%,44.0%,30.0%,22.25%,,
10-7-88,13.0%,49.0%,38.0%,20.63%,,
10-14-88,22.0%,46.0%,32.0%,21.00%,,
10-21-88,26.0%,51.0%,23.0%,20.75%,,
10-28-88,40.0%,38.0%,22.0%,23.50%,,
11-4-88,35.0%,46.0%,19.0%,25.75%,,
11-11-88,23.0%,56.0%,21.0%,25.63%,,
11-18-88,30.0%,34.0%,36.0%,26.88%,,
11-25-88,17.0%,44.0%,39.0%,25.75%,,
12-2-88,19.0%,47.0%,34.0%,26.50%,,
12-9-88,17.0%,44.0%,39.0%,25.88%,,
12-16-88,24.0%,54.0%,22.0%,25.63%,,
12-23-88,22.0%,46.0%,32.0%,23.38%,,
12-30-88,24.0%,54.0%,22.0%,22.00%,,
1-6-89,26.0%,51.0%,23.0%,22.38%,,
1-13-89,36.0%,44.0%,20.0%,23.13%,,
1-20-89,36.0%,47.0%,17.0%,25.50%,,
1-27-89,32.0%,49.0%,19.0%,27.13%,,
2-3-89,33.0%,44.0%,23.0%,29.13%,,
2-10-89,43.0%,31.0%,26.0%,31.50%,,
