id,symbol,date,rsi,macd,macd_signal,percent_b,atr,price_change,ma_trend,rsi_zscore,macd_zscore,bollinger_zscore,atr_zscore,price_momentum_zscore,ma_trend_zscore,composite_zscore,signal,signal_strength,lookback_period,data_quality,created_at,updated_at
1,SPY,"""2023-10-04T04:00:00.000Z""",31.61,-5.163,-4.1304,0.1463,18.5849,1.0351,-4.4319,-1.228,-2.3309,-0.6524,2.299,0.7065,-1.1581,-0.7675,HOLD,0.26,20,limited,"""2025-08-06T00:44:48.976Z""","""2025-08-06T00:44:48.976Z"""
2,SPY,"""2023-10-05T04:00:00.000Z""",32.95,-5.6538,-4.523,0.1401,19.3593,-0.6452,-4.8052,-1.0126,-2.0923,-0.6133,2.0679,-0.2188,-1.1667,-0.8109,HOLD,0.27,20,limited,"""2025-08-06T00:44:48.977Z""","""2025-08-06T00:44:48.977Z"""
3,SPY,"""2023-10-06T04:00:00.000Z""",30.79,-5.9515,-4.7612,0.1827,19.5944,0.078,-4.4079,-1.0841,-1.875,-0.4162,1.8176,0.2269,-0.9323,-0.6796,HOLD,0.23,20,limited,"""2025-08-06T00:44:48.978Z""","""2025-08-06T00:44:48.978Z"""
4,SPY,"""2023-10-09T04:00:00.000Z""",32.38,-5.8728,-4.6983,0.266,19.0628,0.8521,-3.2748,-0.8726,-1.627,-0.0833,1.5266,0.6524,-0.4716,-0.434,HOLD,0.11,20,limited,"""2025-08-06T00:44:48.978Z""","""2025-08-06T00:44:48.978Z"""
5,SPY,"""2023-10-10T04:00:00.000Z""",29.13,-6.3689,-5.0951,0.1581,18.948,-2.162,-4.9656,-1.071,-1.5638,-0.3688,1.3473,-0.9577,-0.9712,-0.8201,HOLD,0.27,20,limited,"""2025-08-06T00:44:48.979Z""","""2025-08-06T00:44:48.979Z"""
6,SPY,"""2023-10-11T04:00:00.000Z""",28.48,-6.7966,-5.4373,0.1689,18.4101,-0.3951,-4.8807,-1.042,-1.4991,-0.2475,1.1421,0.0407,-0.8547,-0.6376,HOLD,0.21,20,limited,"""2025-08-06T00:44:48.979Z""","""2025-08-06T00:44:48.979Z"""
7,SPY,"""2023-10-12T04:00:00.000Z""",30.64,-6.7504,-5.4003,0.2632,16.5846,1.0795,-3.4725,-0.7486,-1.3405,0.1922,0.7898,0.7918,-0.2572,-0.3214,HOLD,0.08,20,limited,"""2025-08-06T00:44:48.980Z""","""2025-08-06T00:44:48.980Z"""
8,SPY,"""2023-10-13T04:00:00.000Z""",32.48,-6.91,-5.528,0.2293,15.7957,-0.9587,-4.0389,-0.4889,-1.2499,0.0908,0.6016,-0.3276,-0.4178,-0.4518,HOLD,0.11,20,limited,"""2025-08-06T00:44:48.981Z""","""2025-08-06T00:44:48.981Z"""
9,SPY,"""2023-10-16T04:00:00.000Z""",26.24,-7.6193,-6.0954,0.125,14.7508,-2.352,-5.8064,-1.0416,-1.2987,-0.2719,0.3815,-0.9886,-1.0161,-0.8376,HOLD,0.28,20,limited,"""2025-08-06T00:44:48.981Z""","""2025-08-06T00:44:48.981Z"""
10,SPY,"""2023-10-17T04:00:00.000Z""",23.39,-8.1926,-6.5541,0.142,11.8407,-0.3797,-5.6338,-1.2131,-1.3142,-0.1243,-0.1224,0.0897,-0.8582,-0.7351,HOLD,0.25,20,limited,"""2025-08-06T00:44:48.982Z""","""2025-08-06T00:44:48.982Z"""
