id,symbol,rsi,macd,macd_signal,percent_b,atr,date,created_at,price_change,ma_trend,updated_at
6001,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 03:37:02.483,2025-08-18 21:01:33.395,,,2025-08-18 21:01:33.395
6002,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 03:35:09.485,2025-08-18 21:01:33.445,,,2025-08-18 21:01:33.445
6003,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 03:31:59.345,2025-08-18 21:01:33.49,,,2025-08-18 21:01:33.49
6004,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:57:35.575,2025-08-18 21:01:33.535,,,2025-08-18 21:01:33.535
6005,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:54:07.641,2025-08-18 21:01:33.581,,,2025-08-18 21:01:33.581
6006,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:53:14.436,2025-08-18 21:01:33.625,,,2025-08-18 21:01:33.625
6007,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:51:52.273,2025-08-18 21:01:33.669,,,2025-08-18 21:01:33.669
6008,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:47:02.785,2025-08-18 21:01:33.713,,,2025-08-18 21:01:33.713
6009,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:34:49.778,2025-08-18 21:01:33.758,,,2025-08-18 21:01:33.758
6010,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:27:30.207,2025-08-18 21:01:33.801,,,2025-08-18 21:01:33.801
6011,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:19:09.017,2025-08-18 21:01:33.846,,,2025-08-18 21:01:33.846
6012,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:18:38.931,2025-08-18 21:01:33.89,,,2025-08-18 21:01:33.89
6013,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 02:16:54.654,2025-08-18 21:01:33.934,,,2025-08-18 21:01:33.934
6014,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:43:17.861,2025-08-18 21:01:33.983,,,2025-08-18 21:01:33.983
6015,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:40:57.393,2025-08-18 21:01:34.028,,,2025-08-18 21:01:34.028
6016,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:22:08.295,2025-08-18 21:01:34.071,,,2025-08-18 21:01:34.071
6017,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:10:25.791,2025-08-18 21:01:34.115,,,2025-08-18 21:01:34.115
6018,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:09:03.149,2025-08-18 21:01:34.158,,,2025-08-18 21:01:34.158
6019,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 01:08:25.31,2025-08-18 21:01:34.201,,,2025-08-18 21:01:34.201
6020,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:55:19.776,2025-08-18 21:01:34.244,,,2025-08-18 21:01:34.244
6021,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:53:48.002,2025-08-18 21:01:34.289,,,2025-08-18 21:01:34.289
6022,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:31:39.948,2025-08-18 21:01:34.333,,,2025-08-18 21:01:34.333
6023,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:17:19.817,2025-08-18 21:01:34.378,,,2025-08-18 21:01:34.378
6024,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:13:08.592,2025-08-18 21:01:34.422,,,2025-08-18 21:01:34.422
6025,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:10:20.257,2025-08-18 21:01:34.466,,,2025-08-18 21:01:34.466
6026,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-15 00:07:06.88,2025-08-18 21:01:34.511,,,2025-08-18 21:01:34.511
6027,SPY,67.95,6.1455,,0.9789,,2025-08-14 23:52:44.365,2025-08-18 21:01:34.567,,,2025-08-18 21:01:34.567
6028,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-14 23:47:25.3,2025-08-18 21:01:34.613,,,2025-08-18 21:01:34.613
6029,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-14 23:42:11.842,2025-08-18 21:01:34.657,,,2025-08-18 21:01:34.657
6030,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-14 23:32:06.254,2025-08-18 21:01:34.7,,,2025-08-18 21:01:34.7
6031,SPY,67.95,6.1455,,0.9789,5.5291,2025-08-14 22:56:00.348,2025-08-18 21:01:34.745,,,2025-08-18 21:01:34.745
6032,SPY,67.94,6.1447,,0.9785,5.5291,2025-08-14 22:04:10.355,2025-08-18 21:01:34.82,,,2025-08-18 21:01:34.82
6033,SPY,67.94,6.1447,,0.9785,5.5291,2025-08-14 22:02:44.653,2025-08-18 21:01:34.865,,,2025-08-18 21:01:34.865
6034,SPY,67.94,6.1447,,0.9785,5.5291,2025-08-14 22:00:38.477,2025-08-18 21:01:34.913,,,2025-08-18 21:01:34.913
6035,SPY,68.17,6.1698,,0.9891,5.5216,2025-08-14 19:24:59.258,2025-08-18 21:01:34.956,,,2025-08-18 21:01:34.956
6036,SPY,67.91,6.1415,,0.9772,5.5216,2025-08-14 19:15:14.081,2025-08-18 21:01:35.001,,,2025-08-18 21:01:35.001
6037,SPY,67.59,6.1247,,0.9701,5.5216,2025-08-14 19:05:51.727,2025-08-18 21:01:35.048,,,2025-08-18 21:01:35.048
6038,SPY,67.58,6.1239,,0.9697,5.5216,2025-08-14 19:03:28.12,2025-08-18 21:01:35.093,,,2025-08-18 21:01:35.093
6039,SPY,67.36,6.1128,,0.9649,5.5216,2025-08-14 18:59:23.241,2025-08-18 21:01:35.136,,,2025-08-18 21:01:35.136
6040,SPY,67.35,6.1120,,0.9646,5.5216,2025-08-14 18:57:50.456,2025-08-18 21:01:35.181,,,2025-08-18 21:01:35.181
6041,SPY,67.39,6.1144,,0.9656,5.5216,2025-08-14 18:56:03.168,2025-08-18 21:01:35.225,,,2025-08-18 21:01:35.225
6042,SPY,66.98,6.0928,,0.9563,5.5216,2025-08-14 18:40:59.587,2025-08-18 21:01:35.269,,,2025-08-18 21:01:35.269
